time_days,separation_u,magnification,flux,delta_magnitude
-0.143658315,2.375525681,1.036101352,1.036101352,-0.03850560102
-0.142270312,2.352632595,1.037205041,1.037205041,-0.03966154754
-0.1408823089,2.32974009,1.038349625,1.038349625,-0.04085902627
-0.1394943059,2.306848184,1.039536875,1.039536875,-0.04209974827
-0.1381063029,2.283956895,1.040768648,1.040768648,-0.04338550298
-0.1367182998,2.26106624,1.042046897,1.042046897,-0.04471816203
-0.1353302968,2.23817624,1.043373671,1.043373671,-0.04609968341
-0.1339422937,2.215286915,1.044751122,1.044751122,-0.04753211572
-0.1325542907,2.192398286,1.046181512,1.046181512,-0.04901760275
-0.1311662876,2.169510375,1.047667219,1.047667219,-0.05055838824
-0.1297782846,2.146623205,1.049210742,1.049210742,-0.05215682091
-0.1283902815,2.123736801,1.05081471,1.05081471,-0.05381535976
-0.1270022785,2.100851186,1.05248189,1.05248189,-0.05553657968
-0.1256142755,2.077966387,1.054215193,1.054215193,-0.05732317729
-0.1242262724,2.055082432,1.056017684,1.056017684,-0.05917797719
-0.1228382694,2.032199348,1.057892591,1.057892591,-0.06110393844
-0.1214502663,2.009317167,1.059843314,1.059843314,-0.06310416149
-0.1200622633,1.986435918,1.06187344,1.06187344,-0.06518189539
-0.1186742602,1.963555634,1.063986746,1.063986746,-0.06734054548
-0.1172862572,1.940676351,1.06618722,1.06618722,-0.06958368144
-0.1158982542,1.917798102,1.068479067,1.068479067,-0.0719150458
-0.1145102511,1.894920926,1.070866728,1.070866728,-0.07433856288
-0.1131222481,1.872044863,1.07335489,1.07335489,-0.07685834828
-0.111734245,1.849169953,1.075948508,1.075948508,-0.07947871886
-0.110346242,1.82629624,1.078652815,1.078652815,-0.08220420322
-0.1089582389,1.803423769,1.081473348,1.081473348,-0.08503955288
-0.1075702359,1.780552589,1.084415962,1.084415962,-0.08798975395
-0.1061822328,1.757682749,1.087486854,1.087486854,-0.09106003952
-0.1047942298,1.734814302,1.090692586,1.090692586,-0.09425590275
-0.1034062268,1.711947305,1.094040109,1.094040109,-0.09758311065
-0.1020182237,1.689081817,1.097536791,1.097536791,-0.1010477187
-0.1006302207,1.666217899,1.101190445,1.101190445,-0.1046560861
-0.09924221763,1.643355617,1.105009361,1.105009361,-0.1084148924
-0.09785421458,1.62049504,1.109002338,1.109002338,-0.1123311543
-0.09646621154,1.597636241,1.113178725,1.113178725,-0.1164122441
